adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/cEsnLkTCJ4jh9Oym7nPAPGnOMm3.jpg,"[18, 53, 80]",379,en,Miller's Crossing,"Set in 1929, a political boss and his advisor have a parting of the ways when they both fall for the same woman.",11.865,/ab3pnsTKp3BgcAFy0FgWBFBg9FL.jpg,1990-09-21,Miller's Crossing,False,7.5,1276
False,/lFIZev3N95yw63g5y3YmPqdmz76.jpg,[18],10647,en,Pay It Forward,"Like some other kids, 12-year-old Trevor McKinney believed in the goodness of human nature. Like many other kids, he was determined to change the world for the better. Unlike most other kids, he succeeded.",11.858,/62OIokwaxFwBFWM147ijLJsaVJD.jpg,2000-10-20,Pay It Forward,False,7.3,1452
False,/4ANK5uSBMQxEdHSYqSqs4YMY0Ed.jpg,"[18, 10749]",283227,en,A Little Chaos,"A landscape gardener is hired by famous architect Le Nôtre to construct the grand gardens at the palace of Versailles. As the two work on the palace, they find themselves drawn to each other and are thrown into rivalries within the court of King Louis XIV.",11.851,/u16luz1IxH49D5vNGlvKhdgg83f.jpg,2015-03-26,A Little Chaos,False,6.3,576
False,/3xIzrSM5GKoF8JAlUnnSaG04gCS.jpg,"[80, 18, 53]",14181,en,Boiler Room,A college dropout gets a job as a broker for a suburban investment firm and is on the fast track to success—but the job might not be as legitimate as it sounds.,11.834,/uYbkko9u3RUbrFO7oDCScxdOlvQ.jpg,2000-02-18,Boiler Room,False,6.7,515
False,/78gVOKZBL4gI2AWXex53q7tFqL3.jpg,"[18, 53, 9648]",638,en,Lost Highway,"A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgangers, and an impossible transformation inside a prison cell.",11.83,/5POhfNeFPIi4VUNwCTaK85sh98r.jpg,1997-01-15,Lost Highway,False,7.6,1965
False,/5Og4MrCkB00W5Y0xNNdP91dN5cx.jpg,"[18, 53]",50837,en,Martha Marcy May Marlene,"After several years of living with a cult, Martha finally escapes and calls her estranged sister, Lucy, for help. Martha finds herself at the quiet Connecticut home Lucy shares with her new husband, Ted, but the memories of what she experienced in the cult make peace hard to find. As flashbacks continue to torment her, Martha fails to shake a terrible sense of dread, especially in regard to the cult's manipulative leader.",11.828,/gBjN9LU0hCWIkYnTFGo57L6NLdK.jpg,2011-06-10,Martha Marcy May Marlene,False,6.6,605
False,/xJkWzH5PE94KevRysjIEF14s0Ws.jpg,"[53, 18]",245698,en,Pawn Sacrifice,American chess champion Bobby Fischer prepares for a legendary match-up against Russian Boris Spassky.,11.821,/5vcLstd2hYn0XhyuEKaPbBZAqSh.jpg,2015-09-16,Pawn Sacrifice,False,6.7,758
False,/7XI3DfxdQwvgXTCx29fglvcirQP.jpg,"[18, 53, 36]",465003,en,The Red Sea Diving Resort,"Sudan, East Africa, 1980. A team of Israeli Mossad agents plans to rescue and transfer thousands of Ethiopian Jews to Israel. To do so, and to avoid raising suspicions from the inquisitive and ruthless authorities, they establish as a cover a fake diving resort by the Red Sea.",11.809,/bTgd1QQFTKdxESevtffAvIvCnz2.jpg,2019-07-28,The Red Sea Diving Resort,False,6.9,666
False,/j9LCCCMec4M3lYRKFmksfMfTVZq.jpg,"[18, 9648, 53]",9613,en,Spider,"A mentally disturbed man takes residence in a halfway house. His mind gradually slips back into the realm created by his illness, where he replays a key part of his childhood.",11.808,/zvm4WuYxTiGkRagRqHUey0meRQL.jpg,2002-11-06,Spider,False,6.6,581
False,/e86x1nXqfXRlqATuy60MmzFUFQr.jpg,"[80, 18, 9648, 53]",2163,en,Breakdown,"When his SUV breaks down on a remote Southwestern road, Jeff Taylor lets his wife, Amy, hitch a ride with a trucker to get help. When she doesn't return, Jeff fixes his SUV and tracks down the trucker -- who tells the police he's never seen Amy. Johnathan Mostow's tense thriller then follows Jeff's desperate search for his wife, which eventually uncovers a small town's murderous secret.",11.806,/h6POHvMnoqBVpAFQXCMBoTjru9.jpg,1997-05-02,Breakdown,False,6.8,664
False,/a86HspaEx3u1HzSBPBqxq3wnKLK.jpg,"[18, 80, 28]",487680,en,The Kitchen,"The mobster husbands of three 1978 Hell's Kitchen housewives are sent to prison by the FBI. Left with little but a sharp ax to grind, the ladies take the Irish mafia's matters into their own hands — proving unexpectedly adept at everything from running the rackets to taking out the competition… literally.",11.795,/l3smhHvnczXg8E2WzysRVKIXSYJ.jpg,2019-08-08,The Kitchen,False,6.2,552
False,/8wYluVq5AVXhnFFMhUYD9D4rTz5.jpg,"[18, 10402]",1125,en,Dreamgirls,Three young women dream of becoming pop stars—and get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early.,11.787,/sG5JyOj8Spe13QkNJMH8b5kzQUh.jpg,2006-12-25,Dreamgirls,False,6.8,826
False,/dt6u2mor7i5dTXu9kS61gyhpzFY.jpg,"[10752, 18, 53]",334517,en,The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,11.778,/adrno1y0mKpMwjSlMQojZEUk82V.jpg,2016-09-19,The Siege of Jadotville,False,7.2,710
False,/v0IeACcCsKLKqT4eCJsZ60nySQL.jpg,"[18, 80, 53]",11975,en,The Rainmaker,"When Rudy Baylor, a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company. But to take on corporate America, Rudy and a scrappy paralegal must open their own law firm.",11.772,/7A382nJnnS1YFqt19pWy8IDAqhI.jpg,1997-11-18,The Rainmaker,False,7.0,945
False,/7O9Gni6xoyyHi2FaYAD23ROSnHH.jpg,"[18, 35]",228194,en,The Hundred-Foot Journey,A story centered around an Indian family who moves to France and opens a restaurant across the street from a Michelin-starred French restaurant.,11.769,/1vFhSr7INoulu18smHqicft05i8.jpg,2014-08-06,The Hundred-Foot Journey,False,7.3,1216
